Scientific Name,USDA SYMBOL,CoC Region,CVal Orig,CVal New
ALNUS INCANA,ALIN2,61,NA,7
ALNUS INCANA,ALIN2,62,NA,7
ALNUS INCANA,ALIN2,82,NA,3
ALNUS INCANA,ALIN2,83,NA,5
ALNUS INCANA,ALIN2,MI,NA,5
ALNUS INCANA,ALIN2,MN,NA,3
ALNUS INCANA,ALIN2,WI,4,4
ALNUS INCANA SSP. RUGOSA,ALINR,58,4,4
ALNUS INCANA SSP. RUGOSA,ALINR,58,4,4
ALNUS INCANA SSP. RUGOSA,ALINR,58,4,4
ALNUS INCANA SSP. RUGOSA,ALINR,58,4,4
ALNUS INCANA SSP. RUGOSA,ALINR,59,5,5
ALNUS INCANA SSP. RUGOSA,ALINR,59,5,5
ALNUS INCANA SSP. RUGOSA,ALINR,61,7,7
ALNUS INCANA SSP. RUGOSA,ALINR,62,7,7
ALNUS INCANA SSP. RUGOSA,ALINR,82,3,3
ALNUS INCANA SSP. RUGOSA,ALINR,83,5,5
ALNUS INCANA SSP. RUGOSA,ALINR,83,5,5
ALNUS INCANA SSP. RUGOSA,ALINR,MI,NA,5
ALNUS INCANA SSP. RUGOSA,ALINR,MN,3,3
ALNUS INCANA SSP. RUGOSA,ALINR,WI,4,4
ALNUS SERRULATA,ALSE2,58,5,5
ALNUS SERRULATA,ALSE2,59,5,5
ALNUS SERRULATA,ALSE2,59,5,5
ALNUS SERRULATA,ALSE2,59,5,5
ALNUS SERRULATA,ALSE2,83,5,5
ALNUS VIRIDIS,ALVI5,82,4,4
ALNUS VIRIDIS,ALVI5,83,8,8
ALOPECURUS AEQUALIS,ALAE,MN,NA,4
ALOPECURUS AEQUALIS VAR. AEQUALIS,ALAEA,MN,NA,4
ALTHAEA OFFICINALIS,ALOF2,59,0,0
AMARANTHUS,AMARA,IN,NA,0
AMARANTHUS,AMARA,WI,NA,0
AMARANTHUS TUBERCULATUS,AMTU,MN,2,2
AMBROSIA ARTEMISIIFOLIA,AMAR2,MI,0,0
AMBROSIA ARTEMISIIFOLIA,AMAR2,MN,0,0
AMBROSIA ARTEMISIIFOLIA,AMAR2,WI,0,0
AMBROSIA TRIFIDA,AMTR,IN,0,0
AMELANCHIER,AMELA,58,NA,5
AMELANCHIER,AMELA,58,NA,7
AMELANCHIER,AMELA,58,NA,7
AMELANCHIER,AMELA,59,NA,7
AMELANCHIER,AMELA,59,NA,7
AMELANCHIER,AMELA,59,NA,7
AMELANCHIER,AMELA,59,NA,7
AMELANCHIER,AMELA,61,NA,7
AMELANCHIER,AMELA,62,NA,6
AMELANCHIER,AMELA,82,NA,5
AMELANCHIER,AMELA,83,NA,7
AMELANCHIER,AMELA,MI,NA,6
AMELANCHIER,AMELA,MN,NA,6
AMELANCHIER,AMELA,WI,NA,6
AMELANCHIER ALNIFOLIA,AMAL2,MN,NA,6
AMELANCHIER ARBOREA,AMAR3,58,5,5
AMELANCHIER ARBOREA,AMAR3,58,5,5
AMELANCHIER ARBOREA,AMAR3,59,4,4
AMELANCHIER ARBOREA,AMAR3,62,6,6
AMELANCHIER ARBOREA,AMAR3,MI,4,4
AMELANCHIER ARBOREA,AMAR3,MN,NA,6
AMELANCHIER ARBOREA,AMAR3,WI,6,6
AMELANCHIER BARTRAMIANA,AMBA,58,7,7
AMELANCHIER BARTRAMIANA,AMBA,58,7,7
AMELANCHIER BARTRAMIANA,AMBA,MN,6,6
AMELANCHIER CANADENSIS,AMCA4,58,5,5
AMELANCHIER CANADENSIS,AMCA4,58,5,5
AMELANCHIER CANADENSIS,AMCA4,59,5,5
AMELANCHIER CANADENSIS,AMCA4,59,5,5
AMELANCHIER CANADENSIS,AMCA4,59,5,5
AMELANCHIER INTERIOR,AMIN2,MI,NA,4
AMELANCHIER INTERIOR,AMIN2,MN,NA,7
AMELANCHIER INTERIOR,AMIN2,WI,NA,7
AMELANCHIER LAEVIS,AMLA,58,3,3
AMELANCHIER LAEVIS,AMLA,59,4,4
AMELANCHIER LAEVIS,AMLA,83,4,4
AMELANCHIER LAEVIS,AMLA,MI,4,4
AMELANCHIER LAEVIS,AMLA,WI,6,6
AMELANCHIER SANGUINEA,AMSA,WI,7,7
AMELANCHIER STOLONIFERA,AMST80,WI,5,5
AMORPHA FRUTICOSA,AMFR,MN,4,4
AMPELOPSIS BREVIPEDUNCULATA,AMBR7,59,0,0
AMPHICARPAEA BRACTEATA,AMBR2,58,4,4
AMPHICARPAEA BRACTEATA,AMBR2,58,4,4
AMPHICARPAEA BRACTEATA,AMBR2,58,4,4
AMPHICARPAEA BRACTEATA,AMBR2,58,4,4
AMPHICARPAEA BRACTEATA,AMBR2,59,4,4
AMPHICARPAEA BRACTEATA,AMBR2,61,4,4
AMPHICARPAEA BRACTEATA,AMBR2,61,4,4
AMPHICARPAEA BRACTEATA,AMBR2,62,4,4
AMPHICARPAEA BRACTEATA,AMBR2,83,5,5
AMPHICARPAEA BRACTEATA,AMBR2,83,5,5
AMPHICARPAEA BRACTEATA,AMBR2,IN,5,5
AMPHICARPAEA BRACTEATA,AMBR2,MI,5,5
AMPHICARPAEA BRACTEATA,AMBR2,MN,2,2
AMPHICARPAEA BRACTEATA,AMBR2,WI,5,5
ANAGALLIS MONELLI,ANMO2,WI,NA,0
ANAPHALIS MARGARITACEA,ANMA,58,2,2
ANAPHALIS MARGARITACEA,ANMA,58,2,2
ANAPHALIS MARGARITACEA,ANMA,MI,3,3
ANDROMEDA POLIFOLIA,ANPO,82,7,7
ANDROMEDA POLIFOLIA,ANPO,WI,10,10
ANDROMEDA POLIFOLIA VAR. GLAUCOPHYLLA,ANPOG,58,NA,8
ANDROMEDA POLIFOLIA VAR. GLAUCOPHYLLA,ANPOG,58,NA,9
ANDROMEDA POLIFOLIA VAR. GLAUCOPHYLLA,ANPOG,82,NA,7
ANDROMEDA POLIFOLIA VAR. GLAUCOPHYLLA,ANPOG,MI,NA,10
ANDROMEDA POLIFOLIA VAR. GLAUCOPHYLLA,ANPOG,MN,9,9
